"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status"
"113","Batch_002","704692640.wem","Batch_002/0113_704692640.wav","948735758","354406134","608177259","704692640","1,134","FALA","","","","","PENDING"
"114","Batch_002","528151165.wem","Batch_002/0114_528151165.wav","3281868771","713536406","290113082","528151165","1,134","FALA","","","","","PENDING"
"115","Batch_002","518039797.wem","Batch_002/0115_518039797.wav","3831384361","458565309","525553767","518039797","1,141","FALA","","","","","PENDING"
"116","Batch_002","143438724.wem","Batch_002/0116_143438724.wav","2403334882","280088796","796301526","143438724","1,144","FALA","","","","","PENDING"
"117","Batch_002","174011257.wem","Batch_002/0117_174011257.wav","64470697","594959497","402319831","174011257","1,149","FALA","","","","","PENDING"
"118","Batch_002","974657530.wem","Batch_002/0118_974657530.wav","1426080799","712454948","131341758","974657530","1,151","FALA","","","","","PENDING"
"119","Batch_002","757582667.wem","Batch_002/0119_757582667.wav","2157606221","19627399","894686532","757582667","1,151","FALA","","","","","PENDING"
"120","Batch_002","610558789.wem","Batch_002/0120_610558789.wav","21816622","32460704","780178376","610558789","1,152","FALA","","","","","PENDING"
"121","Batch_002","15140111.wem","Batch_002/0121_15140111.wav","3369576424","873309786","47130983","15140111","1,155","FALA","","","","","PENDING"
"122","Batch_002","63485174.wem","Batch_002/0122_63485174.wav","3109943155","315466570","611347293","63485174","1,155","FALA","","","","","PENDING"
"123","Batch_002","801833393.wem","Batch_002/0123_801833393.wav","1084431539","383922212","616079477","801833393","1,159","FALA","","","","","PENDING"
"124","Batch_002","581710097.wem","Batch_002/0124_581710097.wav","713792928","365269730","185078017","581710097","1,164","GRITO","","","","","PENDING"
"125","Batch_002","270191836.wem","Batch_002/0125_270191836.wav","3876381483","428827628","206341526","270191836","1,17","FALA","","","","","PENDING"
"126","Batch_002","752327521.wem","Batch_002/0126_752327521.wav","1438782861","547860278","666030736","752327521","1,173","FALA","","","","","PENDING"
"127","Batch_002","89428262.wem","Batch_002/0127_89428262.wav","1388450100","178419983","597533131","89428262","1,188","FALA","","","","","PENDING"
"128","Batch_002","412020070.wem","Batch_002/0128_412020070.wav","3814606774","65863683","763878045","412020070","1,188","FALA","","","","","PENDING"
"129","Batch_002","250104555.wem","Batch_002/0129_250104555.wav","3776281097","411823826","571505455","250104555","1,192","FALA","","","","","PENDING"
"130","Batch_002","1001406991.wem","Batch_002/0130_1001406991.wav","2837614623","172622681","233234196","1001406991","1,195","FALA","","","","","PENDING"
"131","Batch_002","323532677.wem","Batch_002/0131_323532677.wav","2600442144","799096121","126814530","323532677","1,201","FALA","","","","","PENDING"
"132","Batch_002","237528681.wem","Batch_002/0132_237528681.wav","3223271117","544764882","162154101","237528681","1,201","FALA","","","","","PENDING"
"133","Batch_002","820757872.wem","Batch_002/0133_820757872.wav","1409303212","898215708","871927467","820757872","1,205","FALA","","","","","PENDING"
"134","Batch_002","526885551.wem","Batch_002/0134_526885551.wav","506353323","399000848","422566295","526885551","1,207","FALA","","","","","PENDING"
"135","Batch_002","248157971.wem","Batch_002/0135_248157971.wav","3688952314","919247701","308627977","248157971","1,211","GRITO","","","","","PENDING"
"136","Batch_002","834123639.wem","Batch_002/0136_834123639.wav","3540303957","141002095","434980305","834123639","1,213","FALA","","","","","PENDING"
"137","Batch_002","938294348.wem","Batch_002/0137_938294348.wav","3411120398","871247096","479443232","938294348","1,217","FALA","","","","","PENDING"
"138","Batch_002","1011669071.wem","Batch_002/0138_1011669071.wav","3447942977","949973051","288066945","1011669071","1,219","FALA","","","","","PENDING"
