"FromIndex","FromType","FromID","FieldName","FieldType","ToID"
"109","HircChunk","","ulChildID","tid","259208342"
"109","HircChunk","","ulChildID","tid","290330782"
"109","HircChunk","","ulChildID","tid","335574237"
"109","HircChunk","","ulChildID","tid","398328077"
"109","HircChunk","","ulChildID","tid","448285965"
"109","HircChunk","","ulChildID","tid","469538621"
"109","HircChunk","","ulChildID","tid","486790754"
"109","HircChunk","","ulChildID","tid","607180145"
"109","HircChunk","","ulChildID","tid","747922111"
"109","HircChunk","","ulChildID","tid","964549398"
"109","HircChunk","","ulChildID","tid","1039244062"
"109","HircChunk","","sourceID","tid","291892974"
"109","HircChunk","","uFileID","tid","291892974"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","437327073"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","944743452"
"109","HircChunk","","sourceID","tid","170699724"
"109","HircChunk","","uFileID","tid","170699724"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","461962492"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","356083530"
"109","HircChunk","","sourceID","tid","644391300"
"109","HircChunk","","uFileID","tid","644391300"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","477268509"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","580027746"
"109","HircChunk","","sourceID","tid","227830401"
"109","HircChunk","","uFileID","tid","227830401"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","483723733"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","991633241"
"109","HircChunk","","sourceID","tid","28397653"
"109","HircChunk","","uFileID","tid","1417353184"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","831866575"
"109","HircChunk","","uFileID","tid","831866575"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
