"SourceID","UFileID","WEMFound","WEMFile","RelativePath","SizeBytes","StreamType","IsLanguageSpecific","HasSource","ExternallySupplied","ParentObject"
"897844617","897844617","True","897844617.wem","th4_000_common_vo\english(us)\897844617.wem","8711","1","","","","AkBankSourceData"
"897931311","897931311","True","897931311.wem","th4_000_common_vo\english(us)\897931311.wem","11793","1","","","","AkBankSourceData"
"898001860","898001860","True","898001860.wem","th4_000_common_vo\english(us)\898001860.wem","22428","2","","","","AkBankSourceData"
"898503064","898503064","True","898503064.wem","th4_000_common_vo\english(us)\898503064.wem","16132","1","","","","AkBankSourceData"
"900193839","900193839","True","900193839.wem","th4_000_common_vo\english(us)\900193839.wem","7085","1","","","","AkBankSourceData"
"900975517","900975517","True","900975517.wem","th4_000_common_vo\english(us)\900975517.wem","47332","1","","","","AkBankSourceData"
"903710341","903710341","True","903710341.wem","th4_000_common_vo\english(us)\903710341.wem","8563","1","","","","AkBankSourceData"
"903880128","903880128","True","903880128.wem","th4_000_common_vo\english(us)\903880128.wem","31162","1","","","","AkBankSourceData"
"904508579","904508579","True","904508579.wem","th4_000_common_vo\english(us)\904508579.wem","40574","1","","","","AkBankSourceData"
"908775499","908775499","True","908775499.wem","th4_000_common_vo\english(us)\908775499.wem","12986","1","","","","AkBankSourceData"
"910243833","910243833","True","910243833.wem","th4_000_common_vo\english(us)\910243833.wem","28288","1","","","","AkBankSourceData"
"911282662","911282662","True","911282662.wem","th4_000_common_vo\english(us)\911282662.wem","12418","1","","","","AkBankSourceData"
"911543220","911543220","True","911543220.wem","th4_000_common_vo\english(us)\911543220.wem","58655","2","","","","AkBankSourceData"
"914212892","914212892","True","914212892.wem","th4_000_common_vo\english(us)\914212892.wem","27954","1","","","","AkBankSourceData"
"914637809","914637809","True","914637809.wem","th4_000_common_vo\english(us)\914637809.wem","34411","1","","","","AkBankSourceData"
"916018735","916018735","True","916018735.wem","th4_000_common_vo\english(us)\916018735.wem","24403","1","","","","AkBankSourceData"
"916026085","916026085","True","916026085.wem","th4_000_common_vo\english(us)\916026085.wem","9245","1","","","","AkBankSourceData"
"916594557","916594557","True","916594557.wem","th4_000_common_vo\english(us)\916594557.wem","46351","1","","","","AkBankSourceData"
"917369937","917369937","True","917369937.wem","th4_000_common_vo\english(us)\917369937.wem","22869","1","","","","AkBankSourceData"
"917585991","917585991","True","917585991.wem","th4_000_common_vo\english(us)\917585991.wem","46930","1","","","","AkBankSourceData"
"917921297","917921297","True","917921297.wem","th4_000_common_vo\english(us)\917921297.wem","12923","1","","","","AkBankSourceData"
"918364560","918364560","True","918364560.wem","th4_000_common_vo\english(us)\918364560.wem","14533","1","","","","AkBankSourceData"
"919355035","919355035","True","919355035.wem","th4_000_common_vo\english(us)\919355035.wem","21373","1","","","","AkBankSourceData"
"919374362","919374362","True","919374362.wem","th4_000_common_vo\english(us)\919374362.wem","9607","1","","","","AkBankSourceData"
