============================================================
 THIEF 2014 - HIRC OBJECT GRAPH REPORT
============================================================

XML: B:\DublagemThief2014\Analysis\BNK\th4_000_common_vo.bnk.xml
Objetos HIRC: 3485
Eventos: 1149
Actions: 1149
Sounds: 1152
Caminhos completos: 1149
Eventos sem Action: 0
Actions sem Sound: 0
Sounds sem SourceID: 0
WEM unicos referenciados: 1149

============================================================
PRIMEIROS CAMINHOS COMPLETOS
============================================================
EventID=214616859 | ActionID=875754443 | SoundID=767659049 | SourceID=194330409 | WEM=194330409.wem
EventID=217513925 | ActionID=126743150 | SoundID=308205199 | SourceID=802413119 | WEM=802413119.wem
EventID=225660079 | ActionID=34411174 | SoundID=996156026 | SourceID=1006709767 | WEM=1006709767.wem
EventID=235656402 | ActionID=838567321 | SoundID=192468081 | SourceID=580642956 | WEM=580642956.wem
EventID=236789081 | ActionID=58210224 | SoundID=621757154 | SourceID=230796911 | WEM=230796911.wem
EventID=252618756 | ActionID=442921647 | SoundID=356182496 | SourceID=419074368 | WEM=419074368.wem
EventID=255483752 | ActionID=506128832 | SoundID=370474630 | SourceID=874708357 | WEM=874708357.wem
EventID=262679083 | ActionID=573661604 | SoundID=806961882 | SourceID=461795631 | WEM=461795631.wem
EventID=264492210 | ActionID=948614272 | SoundID=113777530 | SourceID=243616231 | WEM=243616231.wem
EventID=282520146 | ActionID=674163862 | SoundID=698471899 | SourceID=149097461 | WEM=149097461.wem
EventID=288511697 | ActionID=512651552 | SoundID=531855588 | SourceID=377506577 | WEM=377506577.wem
EventID=288691043 | ActionID=169327410 | SoundID=934822653 | SourceID=695226232 | WEM=695226232.wem
EventID=289368195 | ActionID=218043853 | SoundID=439289755 | SourceID=723844794 | WEM=723844794.wem
EventID=290900633 | ActionID=64674829 | SoundID=424540536 | SourceID=128616695 | WEM=128616695.wem
EventID=291141652 | ActionID=571944126 | SoundID=860983115 | SourceID=219835625 | WEM=219835625.wem
EventID=291272750 | ActionID=970145691 | SoundID=371972919 | SourceID=1015723236 | WEM=1015723236.wem
EventID=295816390 | ActionID=149540834 | SoundID=966148903 | SourceID=334746582 | WEM=334746582.wem
EventID=298844075 | ActionID=1033809923 | SoundID=995832073 | SourceID=618494245 | WEM=618494245.wem
EventID=298887401 | ActionID=414451237 | SoundID=92536726 | SourceID=792588876 | WEM=792588876.wem
EventID=300711139 | ActionID=242744588 | SoundID=386646869 | SourceID=366751104 | WEM=366751104.wem
EventID=303488411 | ActionID=992439976 | SoundID=663829262 | SourceID=471755574 | WEM=471755574.wem
EventID=313238683 | ActionID=468451749 | SoundID=1067778833 | SourceID=749918491 | WEM=749918491.wem
EventID=313782177 | ActionID=798926590 | SoundID=442588376 | SourceID=623217668 | WEM=623217668.wem
EventID=314236228 | ActionID=342063598 | SoundID=974378803 | SourceID=33235221 | WEM=33235221.wem
EventID=315063253 | ActionID=607829869 | SoundID=530474755 | SourceID=619319587 | WEM=619319587.wem
EventID=316615779 | ActionID=524239045 | SoundID=680002550 | SourceID=206319454 | WEM=206319454.wem
EventID=322192348 | ActionID=831867244 | SoundID=870323883 | SourceID=962377788 | WEM=962377788.wem
EventID=322299620 | ActionID=402368636 | SoundID=977355748 | SourceID=344423814 | WEM=344423814.wem
EventID=322549181 | ActionID=359063730 | SoundID=259448703 | SourceID=974306733 | WEM=974306733.wem
EventID=323914157 | ActionID=182337287 | SoundID=166502767 | SourceID=572354245 | WEM=572354245.wem
EventID=328531425 | ActionID=629743421 | SoundID=743133992 | SourceID=366831874 | WEM=366831874.wem
EventID=334180196 | ActionID=553569529 | SoundID=296170507 | SourceID=514246346 | WEM=514246346.wem
EventID=337681072 | ActionID=425096244 | SoundID=280142996 | SourceID=564398809 | WEM=564398809.wem
EventID=350822486 | ActionID=782660235 | SoundID=708761017 | SourceID=92791440 | WEM=92791440.wem
EventID=351493867 | ActionID=312613068 | SoundID=621432585 | SourceID=691955040 | WEM=691955040.wem
EventID=355854794 | ActionID=43874702 | SoundID=777852873 | SourceID=28391928 | WEM=28391928.wem
EventID=365444518 | ActionID=191122809 | SoundID=726780359 | SourceID=508384238 | WEM=508384238.wem
EventID=370890959 | ActionID=617082004 | SoundID=123421981 | SourceID=123921731 | WEM=123921731.wem
EventID=372632509 | ActionID=470505336 | SoundID=704257682 | SourceID=348578007 | WEM=348578007.wem
EventID=373633978 | ActionID=217254183 | SoundID=101784772 | SourceID=65816721 | WEM=65816721.wem
EventID=385739589 | ActionID=200481864 | SoundID=661397901 | SourceID=824470248 | WEM=824470248.wem
