============================================================
 THIEF 2014 - SOURCEID / WEM CROSSCHECK
============================================================

XML:
B:\DublagemThief2014\Analysis\BNK\th4_000_common_vo.bnk.xml

Inventario:
B:\DublagemThief2014\Analysis\WEM\wem_inventory.csv

------------------------------------------------------------
CONTAGENS
------------------------------------------------------------
WEM no inventario:              1151
AkMediaInformation:             1152
SourceID unicos:                1152
SourceID com WEM:               1151
SourceID sem WEM:               
WEM sem SourceID:               0
MediaHeader embutidos:          105

------------------------------------------------------------
SOURCEID SEM WEM
------------------------------------------------------------
SourceID=680130212 | UFileID=0 | StreamType=0 | LanguageSpecific= | HasSource= | External= | Parent=AkBankSourceData

------------------------------------------------------------
WEM SEM SOURCEID
------------------------------------------------------------
NENHUM.

------------------------------------------------------------
MEDIAHEADERS EMBUTIDOS
------------------------------------------------------------
Index=75 | ID=115875410 | Offset=261760 | Size=3137 | WEMFound=True
Index=76 | ID=28397653 | Offset=264912 | Size=2186 | WEMFound=True
Index=77 | ID=289836723 | Offset=267104 | Size=2955 | WEMFound=True
Index=78 | ID=508384238 | Offset=270064 | Size=2413 | WEMFound=True
Index=79 | ID=159921588 | Offset=272480 | Size=3192 | WEMFound=True
Index=80 | ID=434389044 | Offset=275680 | Size=2728 | WEMFound=True
Index=81 | ID=441080534 | Offset=278416 | Size=3484 | WEMFound=True
Index=82 | ID=802166597 | Offset=281904 | Size=2286 | WEMFound=True
Index=83 | ID=99395565 | Offset=284192 | Size=3353 | WEMFound=True
Index=84 | ID=1004298845 | Offset=287552 | Size=2448 | WEMFound=True
Index=85 | ID=110723765 | Offset=290000 | Size=3106 | WEMFound=True
Index=86 | ID=704692640 | Offset=293120 | Size=2941 | WEMFound=True
Index=87 | ID=585322642 | Offset=296064 | Size=2576 | WEMFound=True
Index=88 | ID=324025043 | Offset=298640 | Size=2892 | WEMFound=True
Index=89 | ID=1040911784 | Offset=301536 | Size=3352 | WEMFound=True
Index=90 | ID=822386335 | Offset=304896 | Size=2398 | WEMFound=True
Index=91 | ID=136987909 | Offset=307296 | Size=2684 | WEMFound=True
Index=92 | ID=305371706 | Offset=309984 | Size=2425 | WEMFound=True
Index=93 | ID=253103376 | Offset=312416 | Size=2702 | WEMFound=True
Index=94 | ID=276506526 | Offset=315120 | Size=3261 | WEMFound=True
Index=95 | ID=833202924 | Offset=318384 | Size=3225 | WEMFound=True
Index=96 | ID=911543220 | Offset=321616 | Size=3703 | WEMFound=True
Index=97 | ID=833742253 | Offset=325328 | Size=2985 | WEMFound=True
Index=98 | ID=891536372 | Offset=328320 | Size=5115 | WEMFound=True
Index=99 | ID=366831874 | Offset=333440 | Size=3146 | WEMFound=True
Index=100 | ID=846685508 | Offset=336592 | Size=3379 | WEMFound=True
Index=101 | ID=697282788 | Offset=339984 | Size=3044 | WEMFound=True
Index=102 | ID=117431200 | Offset=343040 | Size=5062 | WEMFound=True
Index=103 | ID=237528681 | Offset=348112 | Size=2716 | WEMFound=True
Index=104 | ID=697193758 | Offset=350832 | Size=4151 | WEMFound=True

Arquivos gerados:
B:\DublagemThief2014\Analysis\BNK\Structure\source_wem_map.csv
B:\DublagemThief2014\Analysis\BNK\Structure\source_without_wem.csv
B:\DublagemThief2014\Analysis\BNK\Structure\wem_without_source.csv
B:\DublagemThief2014\Analysis\BNK\Structure\embedded_media_headers.csv
